country_code,country_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,0.03696956,0.04182524,0.052708352,0.057704309,0.05699943,0.071134019,0.070200482,0.081045397,0.085917158,0.089932496,0.093911556,0.097115004,0.09620144,0.098959971,0.113574013,0.119207553,0.128921795,0.143838347,0.157995781,0.213217513,0.220317678,0.246857487,0.272001133,0.27355914,0.309068053,0.338722132,0.229575691,0.368721484,0.377760443,0.382735082,0.348033146,0.351093362,0.376486104,0.426810259,0.441158693,0.478273199,0.487738124,0.522827499,0.515301519,0.550735185,0.528914775,0.340917565,0.405714703,0.440536776,0.469923128,0.491516428,0.515073361,0.496688325,0.494966918,0.540013489,0.519080727,0.538334799,0.56749203,0.569502788,0.588716403
AFG,Afghanistan,15.29996408,15.22108024,13.27875223,13.97204875,15.24200177,15.96887186,16.12456087,16.18778275,15.83341313,15.72380999,15.64848142,15.81748317,15.81202874,15.76851006,14.69966495,14.61947465,12.94995377,12.81852541,13.08531764,12.68189248,12.93155191,13.01395902,12.06581026,12.18609241,12.24731063,12.46346299,13.73523609,14.79739853,15.64783339,16.50847787,14.36494047,12.6284462,15.22857195,15.85756496,15.99333627,16.14491309,16.33849818,17.51164729,20.85999193,23.86250219,27.76853122,31.89880727,29.75934823,28.13194421,28.35453803,28.09308462,27.16474141,30.47459482,31.93581042,32.43616845,32.40016796,32.83584592,31.91213908,32.43510674,33.03484009
AGO,Angola,18.83435018,18.72184983,21.31677902,22.87875711,23.58610083,22.42177222,18.46444718,23.13261515,25.30798369,25.8339481,26.30800695,24.90166249,27.27683961,28.85160732,29.28355236,31.64680165,32.94949449,34.66889137,36.42461418,37.30913763,34.08453421,33.39906246,32.66143315,36.63045742,47.40567412,54.62532282,65.5425179,67.28200691,73.10104509,73.83768579,68.93300392,67.21138026,64.92162216,65.37592523,70.63925242,68.69880782,61.22094295,59.72850963,63.03614943,64.53842369,71.66496262,70.56193598,72.492007,77.02625178,78.99761562,83.53685786,80.62550776,75.43364268,70.46511603,71.20874944,63.1592211,66.60191942,68.03523704,68.28078505,69.92293878
AIA,Anguilla,0.003397521,0.003447974,0.003594584,0.003480455,0.003770682,0.00405093,0.003920464,0.004052565,0.004449552,0.004782495,0.006033378,0.008315474,0.008752564,0.007770815,0.007453074,0.005231094,0.004738997,0.007841555,0.007560033,0.007962846,0.00796978,0.00952516,0.009896407,0.012027199,0.015335163,0.018773385,0.01862067,0.015908512,0.014769405,0.014082324,0.017889978,0.018437402,0.013278011,0.016661254,0.01607179,0.016328907,0.015512027,0.01506414,0.018104828,0.023189188,0.027190601,0.029273999,0.029319387,0.031312685,0.031292952,0.031417667,0.031812681,0.032560698,0.031682045,0.031036684,0.026124833,0.025313813,0.025155856,0.025157584,0.026035166
AIR,International Aviation,172.4780158,172.4654467,182.4598255,190.2969148,183.1621061,177.1658344,177.4830782,193.5933665,200.7501935,207.5339481,206.3935772,205.5753359,213.0557902,214.9473992,222.9847775,229.0837706,251.5998531,265.9813091,281.007436,295.1233958,264.2566845,257.1389356,265.6965431,270.8985941,284.8168791,295.6490702,307.7335707,322.5678547,333.3515035,347.5229362,360.037454,353.8237897,374.4066738,372.2884126,408.4353791,434.7174975,450.1829813,465.3297605,472.5351483,449.6296157,475.3342349,488.2541543,490.4172921,498.9003844,513.857056,543.5960408,567.9059257,597.7333715,623.9323985,633.2170535,299.6363343,330.7484075,477.751478,578.3307365,622.3341621
ALB,Albania,8.230901378,8.182606531,9.115145341,8.595385283,8.865959895,9.04711137,9.658663349,10.21635804,11.24029812,12.39661679,12.57829986,11.6195564,12.26440401,13.11493085,13.42885786,12.99177609,13.21637163,13.50380315,13.39921988,13.31328441,11.49836047,9.052585379,6.171350926,6.209333113,6.9072591,6.549409671,6.282386623,5.529223583,5.788893001,6.998529602,7.197681691,7.385374539,8.006921474,8.195193892,8.403265257,7.99288318,8.037691097,7.99278042,7.780071805,7.763170013,8.071487988,8.504615878,8.17715435,8.437716268,8.918760743,8.763343204,8.375388727,9.194657026,9.191052349,8.66624502,7.997195285,8.496282909,7.697618551,7.26124715,7.124310567
ANT,Curaçao,15.07502611,15.07583353,14.65202431,16.20290486,14.66896709,10.58246453,11.25672123,11.39297362,9.680037293,9.575381157,9.08452645,8.420107553,7.643059182,7.177126842,7.001328979,4.686265368,4.474399005,4.1537185,3.645845587,3.133571974,2.844070818,2.946708782,3.080615172,2.557669515,2.865963373,2.872715272,2.902721754,5.523733621,5.712968864,5.6638058,5.886142437,5.885341359,5.625434322,5.636374544,5.855190698,6.138076128,5.996115829,6.483448643,6.41603816,6.084240163,4.440386937,5.713514252,5.800313624,5.330191431,5.87137757,5.936946726,5.161728945,4.161296736,3.368964813,2.610512907,2.193629598,2.333741459,2.410183353,2.404457195,2.49266539
ARE,United Arab Emirates,29.77272471,35.81842416,39.48194459,50.68740842,52.2127106,53.08122955,64.3465867,65.39284233,70.91259469,56.38601677,58.81856691,53.92797409,51.92338208,49.79931951,63.0116672,65.14751564,65.14059464,68.73005753,68.14486605,77.13319524,79.5036724,87.88721719,87.420939,94.05292029,98.94066377,103.9845247,109.083857,110.8692886,111.9371923,114.6885592,117.2260217,129.7434671,131.3144185,139.41055,146.0518083,155.5192329,162.3249821,172.8358058,200.3914181,201.4993131,209.6932599,217.3820015,226.717274,238.5774506,242.0497421,254.2072555,262.1894568,254.2672091,238.7795024,251.8938279,249.749036,255.3524567,255.5927296,254.3073207,264.1483737
ARG,Argentina,219.2139045,222.4566352,229.4516306,237.3424872,237.6577585,238.1730485,246.5946982,257.1351709,249.8251897,255.6798858,251.0558969,245.2532659,242.0252575,248.1144941,249.3410539,240.937348,246.7414644,250.8554636,259.3266414,258.5107595,253.0652215,256.9098522,258.9146812,260.7774271,266.2993207,269.1198344,276.3738221,281.2856871,285.170668,291.770164,288.4453274,285.5006966,284.5413354,305.8994966,324.6532995,329.3845676,342.681527,354.3630579,357.0158973,333.4521471,337.3105095,343.8254965,351.3251616,360.0236821,359.8127063,366.0408142,369.1827211,372.6964274,372.5105146,369.6020029,354.1582723,371.3181803,383.5353557,377.6745446,374.3446068
ARM,Armenia,12.6599628,12.82122557,13.62703163,14.65671555,15.67647087,16.93256062,17.36868945,17.96663558,18.65352346,19.30524715,20.42429599,20.86125925,21.44429795,21.51031991,21.55506457,21.61298315,21.8447871,22.09689303,22.02599206,21.63401434,24.30683233,24.86945884,14.01990114,7.678563372,5.280922599,5.960355588,5.001173987,5.702818898,5.726642568,5.352758437,5.862476706,5.998379442,5.547187325,5.993965423,6.477898762,7.220031809,7.189261833,8.134378985,8.611374115,7.339596318,7.071442679,7.698036892,8.567642895,8.611069595,8.968495659,8.896528331,8.731313057,8.935327464,9.079548444,9.560277618,10.28177647,10.90803482,11.22154529,10.72598057,10.78057528
ATG,Antigua and Barbuda,0.158706983,0.165192678,0.186225627,0.187804363,0.17375398,0.19834187,0.18636094,0.200301337,0.2052871,0.210726536,0.214135681,0.197458357,0.231368966,0.167992327,0.187402221,0.191615149,0.197563046,0.233038564,0.244592283,0.244310062,0.24662033,0.248255018,0.249958457,0.247083733,0.263747337,0.272793605,0.27128979,0.283119631,0.288699553,0.292231531,0.225424162,0.222876346,0.240703094,0.255085738,0.258757993,0.265191525,0.288696552,0.307000164,0.322741158,0.357368213,0.347387443,0.27968214,0.293987033,0.327366059,0.347745558,0.359297342,0.384160164,0.34613378,0.355690919,0.409907472,0.393103442,0.399072324,0.411195345,0.415083112,0.426850998
AUS,Australia,315.6704776,321.9528769,334.1090075,341.3932689,355.8627745,365.1879916,368.2811678,374.8116606,365.7420513,369.7497137,376.8546327,380.0960554,388.5880229,376.0471672,390.3264169,403.3570857,408.614019,419.1159163,429.7091687,451.0102886,460.6999112,463.5076775,465.5236134,470.0598241,474.1460563,482.243936,495.3143152,508.1079134,529.1568628,535.8085052,545.7081563,555.2469894,564.9522899,553.8086433,575.6458189,577.2283024,584.4288393,592.2353105,590.4227159,597.6317331,598.7525371,610.7350003,614.8510616,604.9249664,597.2002503,600.7501598,595.9681248,612.9425235,608.0656138,605.1539774,579.5474495,576.189057,571.780759,587.5131026,591.4539607
AUT,Austria,71.60092943,74.75662965,76.95956629,80.72251291,78.48430076,75.95994164,81.41328382,78.8097759,80.82217383,83.51360326,81.63910164,77.96374262,75.79462663,75.66801687,78.13638418,79.52047011,77.95159648,78.10978826,76.93074319,76.21618846,80.17747315,84.42563766,78.95863026,78.95707374,79.39601993,82.2785837,86.27872941,85.4906496,85.61857468,83.55817603,83.68144706,88.57586577,90.36286515,95.15316079,95.93427335,96.42670709,93.98855926,91.0048224,90.59759013,82.99700659,89.12104997,87.32995858,83.97744465,84.49032715,80.82063687,82.26171289,82.700769,84.85767391,81.79260823,83.13422792,76.97265622,80.07809389,76.07922329,71.59634239,70.99990351
AZE,Azerbaijan,32.54080866,32.88204864,34.72728369,37.14171705,39.59469892,42.36105317,43.47724173,44.80430093,46.92843906,48.4806082,50.64692588,51.8957847,52.77735882,53.80605477,54.73139159,55.57724798,56.64598189,57.72187286,57.53339987,57.60742015,67.67339457,65.86329178,55.32923546,49.01530476,43.49825319,42.67110844,37.26897945,36.55521083,36.9845829,37.96156908,39.6877718,39.02772293,38.87451576,41.69014069,41.66536872,44.53941647,46.21814976,46.628333,51.14185443,45.50491869,44.48502821,46.92378669,50.0285973,51.26249554,53.09415132,52.97148842,52.69874434,52.42593985,53.13645541,55.94329638,54.33382336,56.59608685,59.23625954,60.9918237,58.27978532
